"logfc" "p" "metabolite"
"MGlcn195_rl_m" 2.70096747764964 0.0361973931327436 "MGlcn195_rl_m"
"MGlcn19_rl_m" 2.96400188348343 0.0167549342454268 "MGlcn19_rl_m"
"MGlcn141_rl_m" 15.1678029158143 0.046496196573506 "MGlcn141_rl_m"
"MGlcn14_rl_m" 15.5828404150931 0.0209687010206257 "MGlcn14_rl_m"
"MGlcn24_rl_m" 3.18639430481988 0.00773614489116477 "MGlcn24_rl_m"
"MGlcn22_m" 1.70106942089525 0.0415330147497604 "MGlcn22_m"
"MGlcn30_m" 15.3901953371507 0.0311649678960177 "MGlcn30_m"
"7dhcdchol_m" 0.888194184354528 0.0319761149453682 "7dhcdchol_m"
"MGlcn28_m" 15.1678029158143 0.046496196573506 "MGlcn28_m"
"MGlcn142_rl_m" 15.1678029158143 0.046496196573506 "MGlcn142_rl_m"
"MGlcn73_m" 2.37911583952115 0.0111936619459339 "MGlcn73_m"
"MGlcn73_rl_m" 2.37911583952115 0.0111936619459339 "MGlcn73_rl_m"
"MGlcn79_m" 15.1678029158143 0.046496196573506 "MGlcn79_m"
"MGlcn196_rl_m" 3.28592997837079 0.0052482800345605 "MGlcn196_rl_m"
"pydx_m" 0.805447497211234 0.0292052694636374 "pydx_m"
"MGlcn196_m" 3.37903938276228 0.00355565114010851 "MGlcn196_m"
"MGlcn144_m" 15.1678029158143 0.046496196573506 "MGlcn144_m"
"starch1200_m" -Inf 0.0314376588622111 "starch1200_m"
"MGlcn39[e]" -0.671434827397284 0.00461951969570595 "MGlcn39[e]"
"MGlcn154[e]" -0.55413717666329 0.0438039250882677 "MGlcn154[e]"
"lac_D[e]" -0.573079108210986 2.50504841588815e-12 "lac_D[e]"
"MGlcn47_rl[e]" 0.538385797667904 0.0436039501344906 "MGlcn47_rl[e]"
"so4[e]" -0.598781863878339 8.98485617454705e-13 "so4[e]"
"ser_L[e]" -0.529015303480228 1.30762496964855e-14 "ser_L[e]"
"MGlcn154_rl[e]" -0.580792498712653 0.0346208262560358 "MGlcn154_rl[e]"
"nac[e]" -0.509501300120142 4.94340775541291e-17 "nac[e]"
"glyc[e]" -0.515802194681414 2.58241153735588e-11 "glyc[e]"
"h2s[e]" -0.74859036064034 2.02769131069143e-15 "h2s[e]"
"fol[e]" -3.02291027635964 0.0425283275336745 "fol[e]"
"ura[e]" -0.67353985362244 9.30549682693974e-14 "ura[e]"
"galmannan[e]" -1.22961944931949 1.79982576583144e-05 "galmannan[e]"
"lac_L[e]" -0.762588055737346 4.36985521467691e-17 "lac_L[e]"
"xyluglc[e]" -0.752055557413482 0.0191816613051782 "xyluglc[e]"
"asn_L[e]" -0.538442727706625 5.43887768227066e-12 "asn_L[e]"
"hspg_degr_11[e]" 0.73673474712722 0.0490732370823787 "hspg_degr_11[e]"
"hxan[e]" -0.523893526665142 4.29851991118084e-12 "hxan[e]"
"etoh[e]" -0.698568618104456 1.0497057946673e-19 "etoh[e]"
"h2o[e]" -0.712187244474274 5.28077858879534e-14 "h2o[e]"
"amylose300[e]" -0.686399439639771 0.00859113812213513 "amylose300[e]"
"levanttr[e]" 0.794224135708219 0.00497191616012987 "levanttr[e]"
"but[e]" -0.507597231080432 3.74294315900404e-18 "but[e]"
"for[e]" -0.502046945843467 8.74778766026327e-11 "for[e]"
"starch1200[e]" -1.16138563885357 0.0279346128747149 "starch1200[e]"
"MGlcn156[e]" -0.810286086707142 0.0386664830064997 "MGlcn156[e]"
"MGlcn138_rl[e]" -0.790735533064343 0.0163027803608325 "MGlcn138_rl[e]"
"MGlcn139[e]" -0.588387959766208 0.0461940399563196 "MGlcn139[e]"
"tma[e]" -0.641913649952678 1.43042931658358e-08 "tma[e]"
"MGlcn170_rl[e]" -0.562593985285092 0.0296567107944946 "MGlcn170_rl[e]"
"3mop[e]" -0.521667007529909 7.50870779953993e-11 "3mop[e]"
"cellul[e]" -2.11557732449529 7.17289781061455e-07 "cellul[e]"
"2dmmq8[e]" 3.70096747764964 0.00160862211063479 "2dmmq8[e]"
"bhb[e]" -0.604867005385686 8.09274932166628e-09 "bhb[e]"
"MGlcn147_rl[e]" -0.612989026326135 0.0449966876245053 "MGlcn147_rl[e]"
"dtmp[e]" -0.655576758911444 0.0191048215472731 "dtmp[e]"
"gal1a3acgal[e]" -0.620811620833686 0.025530651617104 "gal1a3acgal[e]"
"MGlcn147[e]" -0.620808578550796 0.0232932539424336 "MGlcn147[e]"
"phpyr[e]" -0.603530629474751 8.1411430993901e-06 "phpyr[e]"
"glyclt_m" 0.671966403296513 0.0404293612049324 "glyclt_m"
"btoh_m" -0.590752075554741 9.90936803115039e-08 "btoh_m"
"levanb[e]" 0.712609917043308 0.0239379993511345 "levanb[e]"
"diact[e]" -0.556267947230187 1.70302530051645e-10 "diact[e]"
"fald[e]" -2.62082681525053 0.0361021601639373 "fald[e]"
"ch4[e]" -2.62082681525053 0.0361021601639373 "ch4[e]"
"actn_R[e]" -0.843200994865058 2.71183273459116e-10 "actn_R[e]"
"ch4s[e]" -1.91031663391667 1.70259118771538e-09 "ch4s[e]"
"no_m" -0.910321268013133 0.0290905362672391 "no_m"
"adn_m" 2.96400188348343 0.0167549342454268 "adn_m"
"dad_2_m" 3.18639430481988 0.00773614489116477 "dad_2_m"
"gua_m" 1.46661691067043 0.0473763612012197 "gua_m"
"chol[e]" -1.18127668590403 5.67834649208812e-15 "chol[e]"
"no[e]" -0.996958692529217 0.000278280304803426 "no[e]"
"13ppd_m" -0.620809794538608 0.000110541501822415 "13ppd_m"
"chol_m" -1.47641980251123 1.32623526795366e-13 "chol_m"
"glyb[e]" -1.30478098645302 2.46908298184412e-13 "glyb[e]"
"oaa[e]" -1.10080352617469 6.44656660542389e-06 "oaa[e]"
"tmao_m" -0.888743496872765 2.96002487485323e-05 "tmao_m"
"so3_m" -1.25824854350427 0.0280095884698902 "so3_m"
"4abut_m" 0.871035838838811 0.0168784489204827 "4abut_m"
"ade_m" 2.18647076157875 0.0235237027199181 "ade_m"
"glutar[e]" -1.327081429689 0.000299450636064553 "glutar[e]"
"so3[e]" -1.3067011758015 2.10953448129042e-05 "so3[e]"
"man_m" 1.5260118423019 0.00437167080315672 "man_m"
"tma_m" -1.10234267729532 2.29608104073266e-09 "tma_m"
"bglc[e]" 3.54896438420459 0.00239350155698233 "bglc[e]"
"glyb_m" -1.84320324193308 1.216176004358e-09 "glyb_m"
"2dmmq8_m" 15.3901953371507 0.0311649678960177 "2dmmq8_m"
"malttr_m" 1.47870612752354 0.00615224632702922 "malttr_m"
"malt_m" 1.10500557342768 0.00543313098603101 "malt_m"
"coprost_m" -1.86874326180871 0.000533003607151032 "coprost_m"
"coprost[e]" -1.16830354366762 0.0140125848139679 "coprost[e]"
"cbl1[e]" -1.23001944580887 0.00167260341455141 "cbl1[e]"
"pppn_m" 1.11614515074842 0.00743575542771541 "pppn_m"
"cbl1_m" -0.872352583677848 0.0230603091031482 "cbl1_m"
"cellul_m" -2.20578719203057 0.0100363638094299 "cellul_m"
"chsterol_m" -1.13538851876109 0.0133938220720234 "chsterol_m"
"chsterol[e]" -1.28823802448375 0.00114621158345271 "chsterol[e]"
"mannan[e]" -1.49528145168792 5.60830967709694e-05 "mannan[e]"
"levantttr_m" 1.70109490783223 0.00276219951539458 "levantttr_m"
"duri[e]" 1.10164303231683 0.0454463468734327 "duri[e]"
"dchac[e]" -1.05691346340159 0.0213914211208095 "dchac[e]"
"adchac[e]" -1.05691346340159 0.0213914211208095 "adchac[e]"
"Tyr_ggn[e]" -0.910321268013133 0.0206130860042926 "Tyr_ggn[e]"
"galct_D[e]" -Inf 0.00526516965444886 "galct_D[e]"
"glutar_m" -2.03585475676971 0.000868382455840829 "glutar_m"
"mannan_m" -2.03586431452937 0.0212917472449506 "mannan_m"
"arbt[e]" -2.94276637936591 0.0264370078064603 "arbt[e]"
"din_m" 15.9047685099805 0.0095532812820852 "din_m"
"cbl2[e]" -2.26467000645661 0.00657056434364262 "cbl2[e]"
"cinnm[e]" -Inf 0.0314376588622111 "cinnm[e]"
"chols_m" 15.1678029158143 0.046496196573506 "chols_m"
"lanost[e]" 15.5828404150931 0.0209687010206257 "lanost[e]"
"pcresol[e]" -Inf 0.0314376588622111 "pcresol[e]"
"strch2_m" 15.1678029158143 0.046496196573506 "strch2_m"
