"","SID31160","SID31300","SID31360","SID31428","SID31537","SID530050","SID530167","SID530251","SID530364","SID530368","SID532779","H1M514901","H1M413802","H1M513803","H1M513804","H1M414905","H1M513606","H1M513807","H1M512808","H1M412809","H1M513810","H1M313811","H1M513912","H1M513813","H1M5XX814","H1M413815","H1M513816","H1F513817","H1F513818","H1M513819","H1M513820","H1M512821","H1M413822","H1M513823","H1M613824","H1M613825","H1M513826","H1M413827","H1M513828","H1M513729","H1M513730","H1M512831","H1M412832","H1M511833","H1M512834","H1M412835","H1M512836","H1M412837","H1M513738","H1F613739","H1M512840","H1M511841","H1M511842","H1M412743","H1M412844","H1M613745","H1F413846","H1M513747","H1M213648","H1M513852","H1M512853","H1M512854","H1M512855","H2M414940","nHM511825","nHM612836","nHM412840","H2M514901","H2M414102","H2M514903","H2M614904","H2M514905","H2M514906","H2M514108","H2M514909","H2F514910","H2M514911","H2M615912","H2M413913","H2M415914","H2M413915","H2MX14816","H2M514917","H2M514818","H2M511919","H2M411920","H2M515921","H2M515822","H2F514923","H2M413924","H2M514925","H2M414926","H2M414927","H2MX14928","H2M614929","H2M514930","H2M414931","H2M614832","H2M513933","H2M513934","H2F413935","H2M513936","H2M513937","H2M513938","H2M513939","H2M514841","H2M614742","H2M514943","H3M415852","H3M515950","H3M516845","H3M615846","H3M615747","H3M515936","H3M515137","H3M515138","H3M414933","H3M515128","H3M515920","H3M515915","H3M515910","H3M415906","H3M515902","H1M412949","H1M612950","H1F512951","H3M515101","H3F416103","H3M516804","H3M516105","H3M515107","H3M518108","H3M516909","H3F516111","H3M518112","H3M516113","H3M516114","H3M518116","H3M415117","H3M516118","H3MX16919","H3M517921","H3M517922","H3M515123","H3M416124","H3M517925","H3M420126","H3M416127","H3M516129","H3M515130","H3M415131","H3M615132","H3M517134","H3M515935","H3M419939","H3M415140","H3M513141","H3M514142","H3M514143","H3M514144","H3M616848","H3M617849","H3M516751","H3M616753","H3M516154","H2M514107","LILT_VF06_16","LILT_VF43_16","LILT_VF84_16","SID21.TO.V.new","SIDVOV108_metag","SIDVOV32_metag","SIDVOV39_metag","SID31021","SID530258","SID530444","SAMEA104142087","SAMEA104142088","SAMEA104142089","SAMEA104142097","SAMEA104142099","SAMEA104142103","SAMEA104142104","SAMEA104142107","SAMEA104142102","SAMEA104142111","SAMEA104142115","SAMEA104142117","SAMEA104142118","SAMEA104142119","SAMEA104142124","SAMEA104142129","SAMEA104142131","SAMEA104142132","SAMEA104142137","SAMEA104142139","SAMEA104142142","SAMEA104142145","SAMEA104142153","SAMEA104142212","SAMEA104142448","SAMEA104142407","SAMEA104142406","SAMEA104142405","SAMEA104142404","SAMEA104142402","SAMEA104142401","SAMEA104142397","SAMEA104142391","SAMEA104142390","SAMEA104142388","SAMEA104142383","SAMEA104142229","SAMEA104142333","SAMEA104142339","SAMEA104142337","SAMEA104142326","SAMEA104142336","SAMEA104142340","SAMEA104142343","SAMEA104142352","SAMEA104142365","SAMEA104142369","CON-041","CON-049","CON-050","CON-051","CON-053","CON-055","CON-079","CON-080","CON-083","CON-088","CON-096","CON-098","NLF015","HD-13","HD-15","HD-19","HD-47","HD-62","HD-82","HV-12","HV-18","HV-2","LILT_VF279_T016","LILT_VF10_T016","CRC_MR_SBJ34H_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ81H_17","YEZ_N-40","YEZ_N-43","YEZ_N-33","SZAXPI003417-4","SZAXPI003419-6","SZAXPI003427-1","SZAXPI003433-7","SZAXPI015231-17","SZAXPI015246-34","SZAXPI015248-36","SZAXPI015250-39","SZAXPI015253-44","SZAXPI015254-45","SZAXPI015255-46","SZAXPI015258-57","SZAXPI015261-75","SZAXPI015264-87","SZAXPI015265-88","SZAXPI015267-102","SZAXPI015270-90","SZAXPI015272-108","SZAXPI017591-140","SZAXPI017592-142","wHAXPI032793-23","wHAXPI032797-27"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14611,0,0,0.23964,0,0,0.1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19869,0,0,0,0,0,0.01619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49902,0,0,0,0,0,0,0,0,0,0,0,2.73298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12633,0,0,0,0,0,0,0,0,0.6094,0,0,0,0.6605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66701,1.74455,0,0,0,0,0,0,0.5178,0,0,0,0.0392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117,3.57127,0,0,1.64037,0,2.04825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13435,2.40767,0,0,0,0,0,0,0,0.66898,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae|g__Catabacter|s__Catabacter_hongkongensis",0,0,0,0,0,0.01582,0,0,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01429,0,0.01089,0.00253,0,0,0,0,0,0,0.00514,0,0,0.00811,0.02285,0,0,0,0.03392,0,0,0,0,0,0,0,0,0,0,0,0,0.0081,0,0,0,0,0,0,0,0,0,0,0.02941,0.05728,0.03811,0.01799,0,0,0,0.03286,0,0,0,0,0,0,0.01779,0.03897,0,0,0,0.03927,0.05981,0.03045,0,0,0,0,0.00518,0,0,0,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,0.04385,0,0,0.00242,0.02972,0.00932,0.01168,0,0.00681,0,0.00113,0,0,0,0,0.01498,0.07502,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Lactonifactor|s__Lactonifactor_longoviformis",0,0,0,0,0.00994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486,0,0,0,0.05172,0,0.00197,0,0,0,0,0,0,0,5e-04,0.00301,0.00117,0,0,0,0,0,0,0,0,0.00199,0,0,0,0,0,0,0,0,0,0,0,0.00443,0,0,0,0,0,0,0,0,0,0,0,0,0.00434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04115,0,0,0,0,0,0,0,0,0.00131,0,0.00347,0.00649,0,0,0,0,0,0.00117,0,0,0,0,0.01187,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052,0,0,0,0,0,0,0,0,0,0,0.00239,0,0,0,0,0.00209,0,0.00115,0.0016,0,0.00035,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.01821,0,0,0,0,0,0,0,0,0,0.00604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_sulci",0,0,0.00583,0,0.00373,0,0,0.01291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133,0,0,0,0,0,0,0,0,3e-04,0,0,0.00472,0,0,0.00276,0,0.00119,0,0.00169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0.00254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01292,0,0,0,0.00055,0,0,0,0,0,0,0,0,0,0,0.00136,0,0,0,0,0,0,0,0,0,0,0,0.01724,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_durans",0,0,0,0,0,0,0,0.01158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_1031",0,0,0,0,0,0,0,0,0,0,0,0,0.10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717,0,0,0,0,0.12638,0,0,0,0,0,0,0,0,0,1.52331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0.29689,0,0,0,0,0,0,0.09617,0,0,0.92694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00414,0,0,0,0,0,0,0,0,0,0,0,0.00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35401,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167",0.01697,3.41485,0.14053,0,0,0,0,0,0,0,1.51504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08082,0,0,0,0,0,0,0,0,0,0,0.00381,0,0,0,0,0,0,0,0,0,0.86297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57885,0,0.01322,0,0.09279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86393,0,0.73039,0,0.38787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_sp_CAG_266",0,0,0,0,0,0,1.99844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5484,0,0,2.16915,0,0,0.03793,0,0,0,0.04312,0,0,0,0,0.00276,0,0,0.04313,0,0,0,0,0,0.66791,2.23647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0,0,0,0.04521,0.06754,0,0,0,0,2.63883,0,0,0.07692,0,0,0,0,0,0,0,0,0,0.0062,0,0.2749,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06184,0.5843,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_youngae",0,0,0,0,0,0.0066,0.11132,0.37272,0,0,0,0,0,0,0,0,0,0.47272,0,0,0,0,0,0,0,0,0,0,0,0.02861,0,0.18426,0,0,0,0,0,0,0,0,0.07253,0,0,0,0,0.23965,0,0,0.04536,0,0,0,0.26837,0,0,0,0,20.17604,0.00777,0,0,0,0,0,0,0.01505,0,0.01174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00728,0,0,0,0,0,0.13258,0.01935,0,0,0,0,0,0,0,0,0,0,0,0,0.01286,0,0,0,0,0,0,0,0,0,0.00748,0,0,0.01885,0,0.148,0,0,0,0,0,0,0.00869,0,0,0,0.03371,0,0,0,0,0,0,0,0,0,0.02398,0,0,0,0,0,0,0,0,0,0,0.00524,0,0,0,0,0,0,0.05382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01476,0.05595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96324,0,0,0,0.00509,0,0,0,0,0,0,0,0,0,0.00398,0.08837,0,0,0,0,0,0,0.0909,0.00393,0,0,0,0.00447,0,0,0,0,0,0,0,0,0,0,0.06792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233,0,0,0,0,0,0.10969,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_jalaludinii",0,0,0.00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273,0,0,0,0,0.01025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02718,0.10065,0.30196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409,0,0,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173,0,0,0,0,0,0,0,0,0.02373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis",0.00075,0,0,0,0,0,0.00602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00923,0,0,0,0,0,0,0,0,0,0,0,0,0.00059,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_macedonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini",0,0,0,0,0,0,0,0,0.21321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46578,0.02508,0,0,0,0,0,0,0.42234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14007,0,0,0,0,0,0,0,0,0.15824,0,0,0,0,0,0,0,0,0,0,0,0.77874,0,6.65269,0,0,0,0,0,0,2.6621,0,0,0,0,0,0,0,0,0,0.46926,0,0,0,0,0.01977,0,0,0.49621,0.57598,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gilvus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae",0,0,0,0,0,0,0.38444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06779,0,0,0,0,0,0,0,0,0,0,0,0,0
