,metabolite,name,description
10,15dap,"""1,5-Diaminopentane""","""Human Metabolome Database (HMDB): Cadaverine is a foul-smelling diamine formed by bacterial decarboxylation of lysine that occurs during protein hydrolysis during putrefaction of animal tissue. However, this diamine is not purely associated with putrefaction. It is also produced in small quantities by mammals. In particular, it is partially responsible for the distinctive smell of urine and semen. Elevated levels of cadaverine have been found in the urine of some patients with defects in lysine metabolism. Cadaverine is toxic in large doses. In rats it had a low acute oral toxicity of more than 2000 mg/kg body weight (Wikipedia)."""
11,ocdcea,"""Oleic acid""","""Human Metabolome Database (HMDB): Oleic acid is an unsaturated fatty acid that is the most widely distributed and abundant fatty acid in nature. It is used commercially in the preparation of oleates and lotions, and as a pharmaceutical solvent (Stedman, 26th ed). Biological source: Major constituent of plant oils e.g. olive oil (about 80%), almond oil (about 80%) and many others, mainly as glyceride. Constituent of tall oil and present in fruits Use/Importance: Food additive. Oleic acid is used in manufacturing of surfactants, soaps, plasticizers. Emulsifying agent in foods and pharmaceuticals. Biological Use/Importance: Skin penetrant. Herbicide, insecticide, fungicide (Dictionary of Organic Compounds). Oleic acid is a fatty acid that occurs naturally in various animal and vegetable fats and oils. It is an odorless, colourless oil, although commercial samples may be yellowish. In chemical terms, oleic acid is classified as a monounsaturated omega-9 fatty acid. It has the formula CH3(CH2)7CH=CH(CH2)7COOH. The term \""oleic\"" means related to, or derived from, oil or olive, the oil that is predominantly composed of oleic acid (Wikipedia). Oleic acid is found to be associated with isovaleric acidemia, which is an inborn error of metabolism."""
12,csn,"""Cytosine""","""Human Metabolome Database (HMDB): Cytosine is a pyrimidine base that is a fundamental unit of nucleic acids. The deamination of cytosine alone is apparent and the nucleotide of cytosine is the prime mutagenic nucleotide in leukaemia and cancer."""
13,datp,"""Deoxyadenosine triphosphate""","""Human Metabolome Database (HMDB): Deoxyadenosine triphosphate (dATP) is a purine nucleoside triphosphate used in cells for DNA synthesis. A nucleoside triphosphate is a molecule type that contains a nucleoside with three phosphates bound to it. dATP contains the sugar deoxyribose, a precursor to DNA synthesis whereby the two existing phosphate groups are cleaved with the remaining deoxyadenosine monophosphate being incorporated into DNA during replication. Due to its enzymatic incorporation into DNA, photoreactive dATP analogs such as N6-[4-azidobenzoyl–(2-aminoethyl)]-2′-deoxyadenosine-5′-triphosphate (AB-dATP) and N6-[4-[3-(trifluoromethyl)-diazirin-3-yl]benzoyl-(2-aminoethyl)]-2′-deoxyadenosine-5′-triphosphate (DB-dATP) have been used for DNA photoaffinity labeling. When present in sufficiently high levels, dATP can act as an immunotoxin and a metabotoxin. An immunotoxin disrupts, limits the function, or destroys immune cells. A metabotoxin is an endogenous metabolite that causes adverse health effects at chronically high levels. Chronically high levels of deoxyadenosine triphosphate are associated with adenosine deaminase (ADA) deficiency, an inborn error of metabolism. ADA deficiency damages the immune system and causes severe combined immunodeficiency (SCID). People with SCID lack virtually all immune protection from bacteria, viruses, and fungi. They are prone to repeated and persistent infections that can be very serious or life-threatening. These infections are often caused by \""opportunistic\"" organisms that ordinarily do not cause illness in people with a normal immune system. The main symptoms of ADA deficiency are pneumonia, chronic diarrhea, and widespread skin rashes. The mechanism by which dATP functions as an immunotoxin is as follows: a buildup of dATP in cells inhibits ribonucleotide reductase and prevents DNA synthesis, so cells are unable to divide. Since developing T cells and B cells are some of the most mitotically active cells, they are unable to divide and propagate to respond to immune challenges."""
14,ade,"""Adenine""","""Human Metabolome Database (HMDB): Adenine is a purine base. Adenine is found in both DNA and RNA. Adenine is a fundamental component of adenine nucleotides. Adenine forms adenosine, a nucleoside, when attached to ribose, and deoxyadenosine when attached to deoxyribose; it forms adenosine triphosphate (ATP), a nucleotide, when three phosphate groups are added to adenosine. Adenosine triphosphate is used in cellular metabolism as one of the basic methods of transferring chemical energy between chemical reactions. Purine inborn errors of metabolism (IEM) are serious hereditary disorders, which should be suspected in any case of neonatal fitting, failure to thrive, recurrent infections, neurological deficit, renal disease, self-mutilation and other manifestations. Investigation usually starts with uric acid (UA) determination in urine and plasma. (OMIM 300322, 229600, 603027, 232400, 232600, 232800, 201450, 220150, 232200, 162000, 164050, 278300). (PMID: 17052198, 17520339)."""
15,ncam,"""Niacinamide""","""Human Metabolome Database (HMDB): Niacinamide or vitamin B3 is an important compound functioning as a component of the coenzyme NAD. Its primary significance is in the prevention and/or cure of blacktongue and pellagra. Most animals cannot manufacture this compound in amounts sufficient to prevent nutritional deficiency and it therefore must be supplemented through dietary intake. Niacinamide is used to increase the effect of radiation therapy on tumor cells. Niacin (nicotinic acid) and niacinamide, while both labeled as vitamin B3 also have different applications. Niacinamide is useful in arthritis and early-onset type I diabetes while niacin is an effective reducer of high cholesterol levels."""
16,metsox_S_L,"""L-Methionine Sulfoxide""",""""""
17,thr_L,"""L-Threonine""","""Human Metabolome Database (HMDB): Threonine is an essential amino acid in humans. It is abundant in human plasma, particularly in newborns. Severe deficiency of threonine causes neurological dysfunction and lameness in experimental animals. Threonine is an immunostimulant which promotes the growth of thymus gland. It also can probably promote cell immune defense function. This amino acid has been useful in the treatment of genetic spasticity disorders and multiple sclerosis at a dose of 1 gram daily. It is highly concentrated in meat products, cottage cheese and wheat germ. (http://www.dcnutrition.com/AminoAcids/) The threonine content of most of the infant formulas currently on the market is approximately 20% higher than the threonine concentration in human milk. Due to this high threonine content the plasma threonine concentrations are up to twice as high in premature infants fed these formulas than in infants fed human milk. The whey proteins which are used for infant formulas are sweet whey proteins. Sweet whey results from cheese production. Threonine catabolism in mammals appears to be due primarily (70-80%) to the activity of threonine dehydrogenase (EC 1.1.1.103) that oxidizes threonine to 2-amino-3-oxobutyrate, which forms glycine and acetyl CoA, whereas threonine dehydratase (EC 4.2.1.16) that catabolizes threonine into 2-oxobutyrate and ammonia, is significantly less active. Increasing the threonine plasma concentrations leads to accumulation of threonine and glycine in the brain. Such accumulation affects the neurotransmitter balance which may have consequences for the brain development during early postnatal life. Thus, excessive threonine intake during infant feeding should be avoided. (PMID 9853925)."""
18,MGlcn136_rl,"""released mucin-type O-glycan No 136""",null
19,MGlcn19_rl,"""released mucin-type O-glycan No 19""",null
20,MGlcn133,"""mucin-type O-glycan No 133""",null
21,MGlcn9,"""mucin-type O-glycan No 9""",null
22,MGlcn136,"""mucin-type O-glycan No 136""",null
23,MGlcn17,"""mucin-type O-glycan No 17""",null
24,MGlcn19,"""mucin-type O-glycan No 19""",null
25,MGlcn103,"""mucin-type O-glycan No 103""",null
26,MGlcn134,"""mucin-type O-glycan No 134""",null
27,MGlcn135,"""mucin-type O-glycan No 135""",null
28,MGlcn135_rl,"""released mucin-type O-glycan No 135""",null
29,MGlcn133_rl,"""released mucin-type O-glycan No 133""",null
30,MGlcn9_rl,"""released mucin-type O-glycan No 9""",null
31,MGlcn103_rl,"""released mucin-type O-glycan No 103""",null
32,MGlcn134_rl,"""released mucin-type O-glycan No 134""",null
33,MGlcn17_rl,"""released mucin-type O-glycan No 17""",null
34,uchol,"""Ursocholic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid; 7beta-Hydroxyisocholic acid; 7-Epicholic acid""",""""""
35,MGlcn7,"""mucin-type O-glycan No 7""",null
36,strch1,"""Starch, Structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})""",""""""
37,3dhcdchol,"""3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid""",""""""
38,HC02194,"""Ursodeoxycholic acid""","""Human Metabolome Database (HMDB): Ursodeoxycholic acid is an epimer of chenodeoxycholic acid. It is a mammalian bile acid found first in the bear and is apparently either a precursor or a product of chenodeoxycholate. Its administration changes the composition of bile and may dissolve gallstones. It is used as a cholagogue and choleretic. [PubChem]"""
