,Adlercreutzia_26dap_M,Adlercreutzia_cgly,Adlercreutzia_co2,Adlercreutzia_glu_L,Adlercreutzia_mg2,Adlercreutzia_ser_L,Blautia_26dap_M,Blautia_cgly,Blautia_co2,Blautia_glu_L,Blautia_mg2,Blautia_ser_L,Butyricimonas_26dap_M,Butyricimonas_cgly,Butyricimonas_glu_L,Butyricimonas_mg2,Butyricimonas_ocdca,Butyricimonas_ser_L,Enterobacter_26dap_M,Enterobacter_cgly,Enterobacter_co2,Enterobacter_dgsn,Enterobacter_kestopt,Enterobacter_mg2,Enterobacter_ocdca,Faecalibacterium_26dap_M,Faecalibacterium_glu_L,Faecalibacterium_mg2,Faecalibacterium_ocdca,Faecalibacterium_ser_L,Roseburia_26dap_M,Roseburia_co2,Roseburia_mg2,Roseburia_ocdca,Roseburia_ser_L,Collinsella_26dap_M,Collinsella_amylopect900,Collinsella_cgly,Collinsella_co2,Collinsella_dgsn,Collinsella_glu_L,Collinsella_mg2,Collinsella_ser_L,Fusobacterium_26dap_M,Fusobacterium_cgly,Fusobacterium_mg2,Fusobacterium_pydx5p,Fusobacterium_ser_L,Roseburia_glu_L,Veillonella_26dap_M,Veillonella_cgly,Veillonella_mg2,Veillonella_ocdca,Veillonella_ser_L,Dialister_26dap_M,Dialister_cgly,Dialister_co2,Dialister_mg2,Dialister_ocdca,Dialister_ser_L,Actinomyces_26dap_M,Actinomyces_cgly,Actinomyces_mg2,Actinomyces_ocdca,Actinomyces_ser_L,Roseburia_amylopect900,Roseburia_cgly,Roseburia_kestopt,Roseburia_melib,Rothia_26dap_M,Rothia_cgly,Rothia_mg2,Rothia_ser_L,Faecalibacterium_co2,Veillonella_glu_L,Dialister_glu_L,Fusobacterium_glu_L,Turicibacter_26dap_M,Turicibacter_cellb,Turicibacter_cgly,Turicibacter_co2,Turicibacter_glu_L,Turicibacter_mg2,Turicibacter_ser_L,Faecalibacterium_kestopt,Turicibacter_dgsn,Faecalibacterium_cgly,Methanobrevibacter_cgly,Methanobrevibacter_co2,Methanobrevibacter_glu_L,Methanobrevibacter_mg2,Methanobrevibacter_ser_L,Enterobacter_ser_L,Faecalibacterium_cellb,Actinomyces_glu_L,Collinsella_cellb,Faecalibacterium_melib,Rothia_glu_L,Enterobacter_glu_L,Parvimonas_26dap_M,Parvimonas_cgly,Parvimonas_co2,Parvimonas_dgsn,Parvimonas_glu_L,Sutterella_26dap_M,Sutterella_cgly,Sutterella_co2,Sutterella_glu_L,Sutterella_mg2,Sutterella_ocdca,Bulleidia_26dap_M,Bulleidia_cgly,Bulleidia_co2,Bulleidia_dgsn,Bulleidia_mg2,Bulleidia_ocdca,Bulleidia_ser_L,Parvimonas_mg2,Parvimonas_pydxn,Sutterella_ser_L,Blautia_cellb,Mobiluncus_26dap_M,Mobiluncus_cgly,Mobiluncus_co2,Mobiluncus_mg2,Mobiluncus_ocdca,Mobiluncus_ser_L,Actinomyces_cellb,Actinomyces_co2,Actinomyces_pydxn,Adlercreutzia_ocdca,Blautia_4hphac,Blautia_melib,Blautia_ocdca,Blautia_pydxn,Collinsella_ocdca,Collinsella_pydxn,Enterobacter_cellb,Enterobacter_pydxn,Faecalibacterium_pydxn,Fusobacterium_cellb,Fusobacterium_co2,Fusobacterium_dgsn,Fusobacterium_melib,Fusobacterium_pydxn,Rothia_co2,Rothia_ocdca,Sutterella_dgsn,Turicibacter_ocdca,Veillonella_pydxn,Selenomonas_26dap_M,Selenomonas_co2,Selenomonas_mg2,Selenomonas_ocdca,Actinomyces_melib,Bulleidia_cellb,Bulleidia_pydxn,Butyricimonas_co2,Butyricimonas_pydxn,Enterobacter_melib,Fusobacterium_ocdca,Roseburia_cellb,Turicibacter_melib,Veillonella_co2,Dialister_pydxn,Rothia_pydxn
HV_18,0,0,0,0,0,0,-1.17163165029003e-07,-3.8880596116901e-07,1.42983704151685e-06,-1.16332538657606e-06,-1.66859665770968e-08,-8.72709724916405e-07,-8.97310079121117e-06,-4.90638651688992e-05,-0.000360323911055993,-3.28568232098465e-06,-9.13445097728413e-05,-0.000306296734530776,0,0,0,0,0,0,0,-3.87496866740377e-05,-0.000302355835990462,-8.02754562072988e-06,-4.19494975136726e-05,-0.00023830561764461,-1.31597247916308e-05,4.24823212633069e-05,-2.63276501179546e-07,-7.67716668982788e-07,-8.16930046787376e-06,-9.81681504362503e-09,0,0,9.94494667213335e-08,-2.78171160629342e-08,-6.22146151966111e-08,-2.10604596150703e-09,-4.49261149462573e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HV_2,0,0,0,0,0,0,-8.78201106416659e-07,-2.9143103568045e-06,1.07173997181179e-05,-7.556891807011e-06,-1.25070318013434e-07,-6.54143002890409e-06,0,0,0,0,0,0,-6.56818898656036e-09,-2.02312467565757e-08,2.06113032723027e-07,-4.24754266110145e-09,-3.03502409599621e-08,-7.87823216594056e-10,-2.01762282032766e-08,-2.29003555317085e-05,-0.000178686764605703,-4.74413252184803e-06,-2.47913851670771e-05,-0.000140834257968887,-0.0106111302982364,0.0183935494311294,-0.000212288729643999,-0.000619035864023936,-0.00658718271716301,0,0,0,0,0,0,0,0,-5.31477044160612e-05,-2.00488844125867e-05,-1.64137514286805e-06,-1.64137514286805e-06,-3.50528612261955e-05,-0.00416907274692811,-4.32729055798017e-09,-2.317021529865e-08,-2.21083057901956e-09,-1.8823627633931e-08,-8.23505875659752e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LILT_VF06_16,-1.09686100709848e-06,-3.01856330991473e-07,0.000150616092703179,3.46999579869256e-06,-1.09403097702389e-08,-1.07072650964314e-06,-1.92093355508434e-09,-6.3746179700889e-09,2.34427087273749e-08,-1.68882715998983e-08,0,-1.43083996922187e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.24916511755176e-05,-0.000409581558870437,-1.08743879160507e-05,-5.68262244027713e-05,-0.000322816941974093,-8.04552476843417e-06,2.60301042819875e-05,-1.60960631375349e-07,-4.69362663219903e-07,-4.99450484685358e-06,-3.58783192290165e-06,-1.51072658166669e-08,-1.40223654046522e-07,3.64868360566152e-05,-1.01665495957843e-05,-2.27380857723705e-05,-7.69713893784718e-07,-1.64195157655338e-05,0,0,0,0,0,0,0,0,0,0,0,-1.06178143441491e-08,-1.65554007852327e-09,5.15046958828706e-08,0,-1.71273027861353e-09,-5.25767822196643e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LILT_VF10_T016,0,0,0,0,0,0,0,0,0,0,0,0,-1.0775689418361e-09,-5.89202088582618e-09,-4.21822544898644e-08,-3.94573660122133e-10,-1.09694529270045e-08,-3.67828085068941e-08,0,0,0,0,0,0,0,-5.50148175181045e-05,-0.000429269306935946,-1.13970975083679e-05,-5.95577448175118e-05,-0.000338334092312579,0,0,0,0,0,-2.67604067689915e-05,-1.55598924207358e-06,-5.21921399535299e-05,0.000264288831810079,-7.58288037083651e-05,-0.000169595576797463,-5.74103172502154e-06,-0.000122467532001944,0,0,0,0,0,0,0,0,0,0,0,-6.14741826425528e-06,-7.09661828773305e-07,2.11203420936289e-05,-2.6687861646116e-08,-7.34176911500969e-07,-2.25375005444172e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000123599723380668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LILT_VF279_T016,0,0,0,0,0,0,-6.55338299519647e-10,-2.17474013588253e-09,7.99762429724325e-09,-5.76153774960627e-09,0,-4.88139857744029e-09,-2.89005028243996e-09,-1.58024567747928e-08,-1.13133212891836e-07,-1.05825035745397e-09,-2.94201784211439e-08,-9.8651846751587e-08,0,0,0,0,0,0,0,0,0,0,0,0,-6.73756612905641e-06,2.17983977420858e-05,-1.34793307991661e-07,-3.93058510535117e-07,-4.18254963549356e-06,-1.30362076023967e-09,0,0,1.3206359581653e-08,-3.69396487847517e-09,-8.26176958618502e-09,-2.79671688346862e-10,-5.9659488195092e-09,0,0,0,0,0,0,0,0,0,0,0,-3.0952486761547e-06,-4.82614224573812e-07,1.50143745765392e-05,-1.81494074101989e-08,-4.99286007050018e-07,-1.53269034744017e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LILT_VF43_16,0,0,0,0,0,0,0,0,0,0,0,0,-2.49132534634701e-09,-1.36222754797043e-08,-9.75248224931058e-08,-9.1224915854405e-10,-2.53612321695547e-08,-8.50413737676121e-08,0,0,0,0,0,0,0,-7.21716879078452e-06,-5.6314083816424e-05,-1.49513858545204e-06,-7.8131368336358e-06,-4.43846651148701e-05,-9.99024117800969e-06,3.22505707332148e-05,-1.9986707814429e-07,-5.82814215415355e-07,-6.20174686187891e-06,-1.17921243065825e-09,0,-2.29987610977472e-09,1.19460381864163e-08,-3.34143904114571e-09,-7.47332482912628e-09,-2.52981803804019e-10,-5.39660093119622e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LILT_VF84_16,-5.02603557240027e-09,-1.38316582274235e-09,6.90152931686948e-07,1.59002117929628e-08,0,-4.90628210042227e-09,-9.31424960613426e-08,-3.09093371605713e-07,1.13669335387858e-06,-8.01488133216456e-07,-1.32650272447165e-08,-1.1619025932337e-07,-2.77104340545876e-09,-1.51517410966521e-08,-1.0847459832347e-07,-1.01467358272792e-09,-2.82087103801192e-08,-9.45895478145515e-08,0,0,0,0,0,0,0,-0.000896085381894273,-0.00699196994908872,-0.000185636759949468,-0.000970080914873504,-0.00551081050515162,-0.000266756498816507,0.000955279339264174,-5.3367922800316e-06,-1.55621347667668e-05,-0.000165597231332374,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.41340295229254e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002821167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI_001_H,0,-0.00389459981223378,1.64475231823833,-0.0212556728701579,-0.000141153668160618,0.414050650567283,-7.09314388210561e-05,-0.000235385978529128,0.000424839657860324,-0.000704285715279843,-1.01018064605932e-05,-0.000528344863730211,-4.4392720022211e-09,-2.42734198615467e-08,-1.73778673528146e-07,-1.62552922062644e-09,-4.51909695685534e-08,-1.51534519628492e-07,-2.05555757834391e-09,-6.33150061225674e-09,6.45044177742418e-08,-1.32929617650031e-09,-4.7475151343488e-09,-2.46554413488831e-10,-6.31428219719363e-09,-0.000421613584998272,-0.00233502798259657,-8.73432168978216e-05,-0.000456428930236113,-0.00367863197541873,-6.38598395479742e-05,0,-5.80114859066959e-06,-1.69162019866931e-05,-0.000180005908934664,-0.000206508837315305,-9.13204681698436e-07,-0.000402764361238716,0.00189369991697847,-0.00491459095210651,-0.00130876132342073,-4.43032797206301e-05,-0.000961218371331645,0,0,0,0,0,-0.000113926964143594,-3.19201380261361e-05,-0.000170914446469113,-1.63081300617924e-05,-0.0001388519638737,-0.000607456810773135,-0.0875143021459148,-0.0156259160606971,0,-0.000587635221472395,-0.0161657092542886,-0.108296434009827,-1.29596737591515e-07,-4.38350493642616e-07,-2.07491940908847e-08,-7.07572274142699e-07,-1.17304747964035e-06,0,0,0,0,0,0,0,0,-0.00010210845404794,0,0.145965638261806,0,0,0,0,0,0,0,0,0,0,-0.000947223399626276,-0.000118488491449574,0.00451367106074097,-0.000999917791393407,-5.66201185495483e-06,-0.000247910501065956,0,0,0,0,0,0,0,0,0,0,0,0,-2.69316222532661e-08,-7.09812730831825e-10,1.16890186268096e-06,-8.30786459539632e-07,-2.49996662721744e-09,-1.95267843252634e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI_002_H,-0.000348997093354856,-9.60440579481067e-05,0.0390596449427997,-0.000524182502770815,-3.48096639912035e-06,0.002915836310014,-3.53146469491229e-06,-1.17191655303944e-05,1.67926109597562e-05,-3.03881382347858e-05,-5.02938802079282e-07,0,0,0,0,0,0,0,-6.85552888363541e-07,-2.11163072158027e-06,1.69301826468017e-05,-4.43336077223682e-07,-2.62152840280877e-06,-8.22288278795017e-08,-2.10588817546825e-06,-0.000366744440536754,0,-7.59762976233397e-05,0,-0.00325624375812416,-2.90573931585025e-06,2.29578457239748e-05,-3.66542921953362e-07,-1.06884249000767e-06,-1.13735910739992e-05,-9.10347621434391e-06,-1.57e-05,-1.77549582390213e-05,8.99069702067319e-05,-2.57957854258457e-05,-5.76937904106387e-05,-1.95301013940817e-06,-4.16615589678166e-05,0,0,0,0,0,0,0,0,0,0,0,-0.000278154409795922,-3.82488908554697e-05,0.000885824475710712,-1.43840497809027e-06,-3.95701888111228e-05,-0.000121471151966646,-1.13735876165075e-07,-3.84702411406227e-07,-1.82097776032325e-08,-6.51164078025324e-07,-1.02948257309267e-06,0,0,0,0,-4.48292863473937e-10,-3.15765380348332e-09,-2.23708261478447e-10,-9.68750188574826e-09,0,0,-0.000146583152635963,0,0,0,0,0,0,0,0,-0.00281854547159719,0,0,-0.0030070252285628,0.0530814276272608,-0.0241107652263061,-0.000143691697682864,-0.00629152352275689,0,-0.0483152220521051,0,0,0,-1.92154318641273e-08,0,0,0,0,0,0,-2.1273659530397e-09,0,9.2333168857312e-08,-6.5624967246697e-08,-1.97475808789531e-10,-1.54244760138342e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI_003_H,-0.00173378355157511,-0.000477137520820666,0.233768647847676,0.0121806087727993,-1.72931018661635e-05,-0.00169247333859142,-1.38464098178345e-05,-4.59493107465174e-05,0.000168978958913084,-0.000119147903759604,-1.9719570683839e-06,-0.000103137334163095,0,0,0,0,0,0,-0.000174625534275645,-0.00198595707292765,0.00594467136634476,-0.000112927537266534,-0.000888401253597712,-2.09455072614376e-05,-0.000536416451608467,-0.000910501157953579,-0.00710445328498066,-0.000188623191838524,-0.000985687094274245,-0.00559946568439314,-2.06518624891463e-06,7.42512978883985e-06,-4.13165942683042e-08,-1.20479564196823e-07,-1.28202734150142e-06,-0.000417211552584733,-3.29865278565223e-06,-0.000813708249306723,0.00540151701187707,-0.00118221868594571,-0.00246508900099166,-8.95062911453909e-05,-0.00194195761445277,-9.17292518417897e-09,-4.00905577776981e-09,-3.2821599269991e-10,-3.2821599269991e-10,-9.90409673268174e-09,-7.28770636097581e-07,-1.0982521041087e-07,-5.88052439822107e-07,-5.61101525932529e-08,-4.77737475192165e-07,-2.09003081390345e-06,0,0,0,0,0,0,-7.68341860714543e-07,-2.59885426276777e-06,-1.2301601639362e-07,-4.19499292812782e-06,-6.95466182223078e-06,0,0,0,0,-1.49696474920193e-06,-2.65245773992077e-07,-1.8791696195072e-08,-8.13758915844542e-07,0,0,0,0,0,0,0,0,0,0,0,-0.00193276574640229,0,-0.00204558874022995,0,0,0,0,0,0,0,0,0,0,0,4.18910145228762e-05,-1.04784974303059e-08,-1.6948976505634e-08,1.58493337837416e-06,4.09079694171511e-08,-9.55016482943986e-08,0,0,0,0,0,0,-9.08251190308451e-08,-2.03225138466565e-08,4.82376568250084e-06,2.76698073975176e-08,-2.21539380542853e-09,-5.79997503648244e-08,-6.76672962160309e-08,-9.72681616903773e-10,-9.72681616903773e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI_004_H,-6.18395491759337e-05,-1.70182541849973e-05,0.00849153284794357,0.000195633698750188,-6.16799958844644e-07,-6.03661213394816e-05,-0.000331846046756979,-0.00110123110055575,0.0173361761421861,-0.00625802254430983,-4.72603487927112e-05,0,-9.68599933201192e-09,-5.2961910972554e-08,-3.79165799002487e-07,-3.54672453890546e-09,-9.86016853292554e-08,-3.30631521376467e-07,0,0,0,0,0,0,0,-0.000178136261323529,-0.00138996061221774,-3.69034458655115e-05,-0.000192846118069208,-0.00109551522665723,-0.000183716700427658,0.000593075616137989,-3.67547884645774e-06,-1.0717729703476e-05,-0.0001140477441986,-0.000224774088006919,-9.83878065505642e-07,-0.00043838797969162,0.00221989454993482,-0.000636924182256955,-0.0014245183727487,-4.82218069908336e-05,-0.00104623601391781,0,0,0,0,0,0,-2.873917888233e-06,-1.53882193323486e-05,-1.46829649263546e-06,-1.25014855031695e-05,-5.46921505596386e-05,-0.00189104616667225,-0.000210358034718138,0.00606332833819953,-7.91081878591485e-06,-0.000217624798146091,-0.000668056830698868,-4.69597222890072e-07,-1.58837466353429e-06,-7.51852562292006e-08,-2.73126924277743e-06,-4.25056871796881e-06,0,0,0,0,-1.29037625138974e-06,-9.08906166060854e-06,-6.43926886577033e-07,-2.7884723106661e-05,0,0,-0.000806165701060652,0,0,0,0,0,0,0,0,0,0,0,-6.44285144113491e-09,2.4543237695688e-07,-5.43708650897724e-08,-3.07873792577935e-10,-1.34802165976181e-08,0,0,0,0,0,-5.53101308495606e-05,0,0,0,0,0,0,-2.0801299538446e-06,-5.48241286446995e-08,9.028300467019e-05,-5.19975632661691e-05,-1.9309105912683e-07,-1.50819911980303e-06,-0.00202056645331793,-0.000452110497225969,0.00227260287517529,0.000615564121399133,-4.92853788896993e-05,-0.00129030769393409,-0.00150537946087806,0,0,1.27358429396875e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI_005_H,0,0,0,0,0,0,-0.00181407672651369,0,0,-0.0342102404490727,-0.000258354437756983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000414078861082783,-0.00323097219499704,-8.57822922771917e-05,-0.000448272015708832,-0.00254653204228418,-0.000461664092899425,0.00035999119042023,-9.23615873609219e-06,-2.69327227735882e-05,-0.000286592064031791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29646384923865e-05,-0.000122962766422744,-1.17327284440072e-05,-9.98957194892627e-05,-0.000437029001808227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.6032337718223e-08,-2.53802051102599e-07,-1.79809501438039e-08,-7.78650226301222e-07,0,-0.000856203481038948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50432716992499e-06,-4.05075084932671e-06,0.000267480612435138,9.77687306402679e-06,-2.28245866534798e-05,-5.61721742078271e-06,-1.48047986104451e-07,0.0002438017229148,-0.000174807163549603,-5.21426297967555e-07,-4.07276591258569e-06,0,0,0,0,0,0,0,-2.32467776711338e-07,-2.32467776711338e-07,0,-0.00894114878484738,-2.80108293221779e-07,-4.84169413205539e-06,7.47347065729929e-06,-4.36482630918395e-07,-9.377964230852e-06,-3.49040172611495e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI_006_H,-0.00138671092566788,-0.000381623076633184,0.152747048250439,-0.00105980948896778,-1.38313304880016e-05,0.00951219823470521,-0.000167418059753067,-0.000555576828461649,0.00246847074048226,-0.0014220258754187,-2.38430922274126e-05,-0.00187644047025769,0,0,0,0,0,0,-2.96582827540998e-08,-9.13530408461511e-08,7.41833374964037e-07,-1.9179536628866e-08,-1.13437498450091e-07,-3.55737080126664e-09,-9.11046077066959e-08,-0.000577299908644925,0,-0.00011959584067025,-0.000624971274892123,-0.00372972999013513,-0.000569797993417062,0.000444310616970522,-1.13995105871344e-05,-3.32410764226183e-05,-0.000353719480302194,-0.0004416127025243,-1.93368237231372e-06,-0.000861299014412307,0.00432689825624181,-0.00125136225409094,-0.00201086903526336,-9.47411807769038e-05,-0.0028434116856353,0,0,0,0,0,-0.000223871465041216,-1.10152655263389e-07,-5.89805723459903e-07,-5.62774455178189e-08,-4.79161853770834e-07,-2.09626225957115e-06,0,0,0,0,0,0,-6.44131955992364e-08,-2.17872429605606e-07,-1.03129285685829e-08,-3.68780375544524e-07,-5.83037336876697e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00129699801317556,-0.00412833781668284,0.152194588742739,-0.0342417238143527,-0.000204068654822445,-0.0113275941125168,0,0,0,0,0,0,0,0,0,0,0,0,-9.55753014831944e-09,-2.51899291872898e-10,4.14821457390863e-07,-2.94830610618068e-07,-8.87191502417774e-10,-6.92969135440043e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI_007_H,-7.52506219568678e-05,-2.07089836376023e-05,0.0103330819304162,0.000238060556761035,-7.50564665243279e-07,-7.34576534993175e-05,-2.90644556780777e-05,-9.64503956765914e-05,0.00100687886944833,-0.00025009869081706,-4.13925772580372e-06,0,-4.60559410204264e-09,-2.51828496417454e-08,-1.80289478423846e-07,-1.68643142106845e-09,-4.68840978445077e-08,-1.57211923375649e-07,-7.80095282086632e-08,-2.40283892223998e-07,1.9465511188358e-06,-5.04475129623539e-08,-3.00812264125705e-07,-9.35687410397094e-09,-2.3963044400648e-07,-0.0275869559221905,-0.0382671728785609,-0.000745933606631285,-0.00389802082169903,-0.0339710917537214,-0.00423743745977531,0.00737383139302651,-8.4775154955086e-05,-0.000247205121927056,-0.00263051852305784,-9.22520870879254e-05,-3.88169115250003e-07,-0.000179923791213719,0.000907486643077016,-0.000261407289652381,-0.000584652769126651,-1.97912596487482e-05,-0.000422186610435908,0,0,0,0,0,-0.00166487306571835,-4.18529233766879e-07,-2.24098944252175e-06,-2.1382831030818e-07,-1.82059382072543e-06,-7.96482876581494e-06,0,0,0,0,0,0,-2.48396540071471e-08,-8.40181226649771e-08,-3.97697358531702e-09,-1.42212738367234e-07,-2.24836628373043e-07,0,0,0,0,-5.36229325249488e-10,-3.77705448017194e-09,-2.67590541539588e-10,-1.15877878565648e-08,-0.313743986572699,0,0,0,0,0,0,0,0,0,0,-0.00282086618773587,0,-0.00808953221399379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI_008_H1,-0.0112530126327407,-0.00309683094205829,1.52348009774127,0.0211212222160598,-0.000112239785400213,0.0179720346585154,-2.90439806124614e-05,-9.63824491716898e-05,0.000190474590429338,-3.90069450715582e-05,-4.13634173885123e-06,0,-5.7274462317257e-09,-3.13170058170693e-08,-2.24205231928805e-07,-2.09722026597577e-09,-5.83043454498714e-08,-1.9550633819877e-07,-1.83201683452005e-06,-5.64295344077572e-06,4.58236656050155e-05,-1.18473595634998e-06,-7.00712878589228e-06,-2.19741758097901e-07,-5.62760751877786e-06,-0.00117783338390441,-0.00940928213929968,-0.000244004843250674,-0.00127509466141627,-0.00724352468691934,-6.46362985477541e-05,0,-5.87168359458112e-06,-1.7121882698823e-05,-0.000182194564731419,-2.97088183542163e-05,-5.38597947362469e-07,-5.79425723525983e-05,0.000293407681171411,-8.41834795276632e-05,-0.000188281300364711,-6.37356786676697e-06,-0.000135960775706551,0,0,0,0,0,0,0,0,0,0,0,-2.16985625292296e-06,-3.38326125783864e-07,1.052549826113e-05,-1.27232443258133e-08,-3.50013513531431e-07,-1.07445897959944e-06,-3.07198124746863e-07,-1.03907283571689e-06,-4.91842127601967e-08,-1.67724033628564e-06,-2.78061001134447e-06,0,0,0,0,-1.19839518463972e-08,-8.44117187931478e-08,-5.98026257305077e-09,-2.58970341867686e-07,-0.0165475584515069,0,0,0,0,0,0,0,0,0,0,-0.00281412342653453,0,0,0,0,0,0,0,0,0,0,0,0,-5.13674940936945e-07,0,0,0,0,0,0,-2.63442152563276e-07,-6.94330968883521e-09,1.14340688408605e-05,-8.12666133377838e-06,-2.44543972664195e-08,-1.91008846288952e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
